number,contents
69916,"[ 1 ] 공증인 촉탁 되 ㄴ 법률 행위 적법성 등 적극적 조사 하 ㄹ 의무 있 는지 ( 한정 ) < br / > [ 2 ] 공정 증서 작성 대리인 의하 여 촉탁 되 ㄴ , 공증인 대리권 유무 ㄴ 심사 의무 있 는지 ( ) < br / > [ 3 ] 공증인 시행령 13 저 1 항 규정 취지 공증인 규정 위반 하 여 본인 ㄴ 통지 해태 하 ㄴ 직무 과실 ( ) < br / > "
73720,건물 손괴 ㄴ 위자료 가부 < br / > 
205612,"임차인 甲 임대인 乙 대구광역시 소재 상가 건물 관하 여 보증 금액 ( 월 차임 환산 액 포함 하 ㄴ 금액 ) 구 상가 건물 임대차 보호법 시행령 2 저 1 항 3 호 보증 금액 초과 하 금액 하 고 임대차 기간 3 년 하 임대차 계약 체결 하 였 다가 임대차 기간 만료 다시 동일 하 ㄴ 보증 금액 임대차 기간 2 년 하 내용 임대차 계약 체결 하 여 건물 약국 운영 하 였 고 , 임대차 기간 2015 . 5 . 13 . 신설 되 ㄴ 권리금 회수 기회 보호 관하 ㄴ 구 상가 건물 임대차 보호법 10 4 시행 되 기 종료 되 었 는데 , 甲 乙 상대 乙 권리금 반환 새롭 ㄴ 임차인 통하 ㄴ 권리금 회수 협조 하 지 않 아 권리금 회수 하 지 못하 손해 입 었 다며 같 3 항 따르 ㄴ 손해 배상 구하 ㄴ , 임대차 구 상가 건물 임대차 보호법 10 4 시행 일 현재 존속 중인 임대차 하 지 않 으므로 , 구 상가 건물 임대차 보호법 10 4 임대차 적용 되 지 않 는다고 하 ㄴ < br / > "
112254,아 . 개정 상법 시행 일 이전 발생 하 ㄴ 보험 사고 피하 어 자의 보험 회사 ㄴ 직접 청구권 되 는지 < br / > 나 아 . 상법 724 저 2 항 의하 ㄴ 피해자 보험 회사 ㄴ 직접 청구권 법적 성질 < br / > 
116378,"[ 1 ] 의사 환자 ㄴ 진료 주의 의무 내용 진단 과실 유무 기준 < br / > [ 2 ] 체육 시험 중 앞 · 뒤 구르기 하 다가 흉부 통증 느끼 어 장기간 흉근 염좌 치료 받 고 낳 ㄴ 계속 통증 호소 하 다가 치료 종료 하 ㄴ 상황 흉추 골절 인하 ㄴ 유 장해 남 것 판명 되 ㄴ , 진료 관여 하 ㄴ 의사 주의 의무 내용 의사 과실 결과 사이 인과 관계 사실상 추정 ( ) < br / > [ 3 ] 석명권 한계 당사자 입증 취지 제출 하 ㄴ 자료 이미 제출 되 ㄴ 증거 보충 하 취지 불과 하 ㄴ , 이르 ㄹ 증거 제출 하 도록 촉구 하 ㄹ 석명 의무 있 는지 ( ) < br / > "
74477,불법 행위 인하 ㄴ 손해 배상 청구권 3 년 소멸 시효 기산 시기 < br / > 
118459,아 . 화해 조서 기한 소유권 보존 등기 부 적법 고 하 ㄴ < br / > 나 아 . 지세 명기 장 ' 비과세 지성 ' 라 기재 되 ㄴ 사실 만 토지 국유화 하 ㄴ 것 라 단정 하 ㄹ 있 는지 ( ) < br / > 
95184,아 . 일실 수입 산정 잘못 없다 고 하 ㄴ < br / > 나 아 . 항소 하 지 않 원고 여 저 1 심 보다 더 많 위자료 지급 명하 ㄴ 위법 있 다고 하 ㄴ < br / > 
105336,항소 하 지 않 원고 여 저 1 심 보다 많 위자료 지급 명하 ㄹ 있 는지 ( ) < br / > 
205963,"호프 만식 계산법 의하 여 중간 이자 공제 하 , 단리 연금 현가 율 240 넘 일실 이익 산정 < br / > "
235097,"[ 1 ] 이동 통신 서비스 계약 체결 되 어 회선 개통 되 ㄴ 청약 철회 권 행사 하 ㄹ 까지 사용 · 소비 하 ㅁ 으로써 소멸 하 부분 제공 예정 되 ㄴ 전체 이동 통신 서비스 비하 여 상당히 적 부분 차지 하 , 전자 상거래 등 소비자 보호 관하 ㄴ 법률 17 저 2 항 2 호 , 방문 판매 등 관하 ㄴ 법률 8 저 2 항 2 호 정하 ‘ 소비자 사용 일부 소비 재화 등 가치 현저히 감소 하 ㄴ ’ 하 는지 ( ) / 이동 통신 서비스 계약 가분 적 용역 구성 되 ㄴ 계약 하 , 통신 판매 이동 통신 서비스 계약 체결 하 ㄴ 소비자 이동 통신 서비스 사업자 상대 아직 제공 되 지 않 서비스 어서 청약 철회 권 행사 하 ㄹ 있 는지 ( ) < br / > [ 2 ] 전자 상거래 등 소비자 보호 관하 ㄴ 법률 방문 판매 등 관하 ㄴ 법률 청약 철회 권 제한 사유 존재 하 는지 제한 사유 사실 ㄴ 표시 의무 다하 였 지에 관 하 ㄴ 증명 책임 소재 ( = 사업자 ) < br / > "
199767,아 . 다방 건물 임차인 임대차 종료 시 반환 키 하 고 영업 허가 명의 넘기 어 받 았 으나 임대차 종료 건물 만 명 하 고 영업 허가 명의 반환 협력 하 지 아니하 ㄴ 손해 입증 책임 < br / > 나 아 . 손해액 입증 촉구 원고 불응 하 ㄴ 손해 배상 기각 하 ㄴ 조치 정당 하 다고 하 ㄴ < br / > 
