number,contents
232727,"甲 건물 임차 하 여 병원 운영 하 면서 사용하 던 甲 소유 진료 장비 등 유체 동산 ㄴ 압류 채권자 승낙 얻 어 유체 동산 甲 보관 시키 이루어지 었 고 , 甲 병원 출입문 쇠사슬 묶 어 두 등 출입 통제 하 조치 취하 어 두 었 는데 , 건물 관하 여 소유권 이전 등기 마치 ㄴ 乙 주식회사 인부 동원 하 여 병원 출입 통제 조치 무력화 하 ㄴ 다음 건물 점거 하 였 고 , 이후 집행관 사무소 건물 각 층 보관 중이 던 유체 동산 지하 3 층 이전 하 ㄹ 것 신청 하 여 허가 받 아 유체 동산 보관 장소 변경 하 였 으며 , 乙 회사 甲 상대 소유권 기한 방해 배제 로서 유체 동산 수거 등 구하 ㄴ , 甲 ㄴ 관계 사법 적 위법 하 게 유체 동산 ㄴ 점유 개시 하 ㄴ 乙 회사 특별 하 ㄴ 사정 없 자신 위법 하 ㄴ 행위 인하 여 유체 동산 점유 침탈 당하 ㄴ 甲 상대 물권 적 방해 배제 청구권 행사 하여 유체 동산 수거 구하 ㄹ 없다 고 하 ㄴ < br / > "
125466,"[ 1 ] 사하 어 행위 취소 대상인 금원 지급 행위 법률적 평가 증여 변제 따르 아 소송물 달리하 는지 ( ) < br / > [ 2 ] 채무 본지 따르 ㄴ 변 하 , 사해 행위 성립 ( 한정 ) < br / > [ 3 ] 채무 자가 일부 채권자 통모 하 여 다른 채권자 해하 ㄹ 의사 변제 하 였 는지 ㄴ 증명 책임 소재 기준 < br / > "
209959,[ 1 ] 환지 예정지 지정 되 ㄴ 토지 관하 여 자산 관리 공사 대행 하 ㄴ 공매 절차 공매 목적물 ( = 종전 토지 ) < br / > [ 2 ] 공매 절차 감정 평가 법인 감보율 잘못 적용 하 여 산정 하 ㄴ 감정 가격 기초 공매 목적 물의 최저 경매 가격 공고 하 ㄴ 있 어 공매 대행 의뢰 받 자산 관리 공사 손해 배상 책임 발생 ( 한정 ) < br / > 
191294,"[ 1 ] 과실 상계 의의 과실 정 < br / > [ 2 ] 선하 증권 소지 은행 선하 증권 상환 없이 화물 인도 하 ㄴ 운송인 손해 배상 구하 , 은행 인수 ( D / A ; Documents against Acceptance ) 조건 발행 되 ㄴ 환어음 선적 서류 매입 하 ㅁ 있 어 수출업 자로 부터 대출금 확실히 회수 하 ㄹ 조치 강구 하 여야 하 ㄹ 특별 하 ㄴ 사정 있 었 음에도 게을리 잘못 환어음 인수인 원래 수입자 아니 ㄴ 저 3 임의 변경 하 ㅁ 으로써 수출 어음 보험 약관 면책 사유 되 어 보험금 지급 받 지 못하 게 되 ㄴ 잘못 있 다 하여 이르 ㄹ 과실 상계 사유 삼 < br / > "
129664,"[ 1 ] 채권 자가 고의 연대 보증 공동 담보 설정 되 ㄴ 근저당 권 설정 등기 말소 하 ㄴ , 연대 보증인 담보 상실 인하 여 상환 받 없 게 되 ㄴ 한도 책임 면하 는지 ( ) < br / > [ 2 ] 보증 책임 한도 한정 되 어 있 보증인 물상 보증인 사이 대위권 행사 있 어 대위 범위 < br / > "
81467,"[ 1 ] 환배서 기한 후배서 있 어 서의 인적 항변 절단 ( ) < br / > [ 2 ] 약속 어음 소지인 어음 지급 기일 지급 거절 되 자기 전자 피 배서인 백지 ㄴ 배서 되 어 있 상태 교부 하 여 전자 어음 발행인 상대 어음 금 소 하 였 으나 인적 항변 대항 받 아 패소 하 다시 어음 교부 받 아 어음 발행인 상대 어음 금 소 하 ㄴ , 어음 발행인 전자 ㄴ 인적 항변 어음 소지인 대항 하 ㄹ 있 다고 하 ㄴ < br / > "
112283,아 . 신용 보증 기금 금융 기관 사이 보증 계약 중 “ 당하 어 시설 준공 즉시 주 담보 취득 하 여 보 ㄴ 보증 우선 해지 하 ㄹ 것 ” 라는 특약 사항 취지 < br / > 나 아 . 금융 기관 귀책 사유 물적 담보 취득 하 지 못하 였 다고 보 아 보증 책임 면책 하 ㄴ < br / > 
82635,[ 1 ] 보증 채무 자체 이행 지체 인하 ㄴ 지연 손해 금은 보증 한도 액과 별도 부담 하 것 ㄴ지 ( ) 연체 이율 결정 < br / > [ 2 ] 구 신 기술 사업 금융 지원 관하 ㄴ 법률 36 저 2 항 보증 채무 ㄴ 지연 손해금 관하 ㄴ 규정 보 ㄹ 있 는지 ( ) < br / > 
76747,사해 행위 성립 부인 하 ㄴ 예 < br / > 
75749,정기 예금 기간 만료 정기 예금 반환 채권 여 받 전부 명령 < br / > 
74998,입목 소유 공유 하 기에 적합 하 ㄴ 명인 라고 하 ㄹ 없 < br / > 
118302,아 . 운송인 화물 운송 계약 상의 의무 이행 지체 하 고 있 더 ㄴ 중 강도 인하 여 목적물 멸실 되 ㄴ 운송인 면책 ( 부정 ) < br / > 나 아 . 운송 계약 상의 채무 불이행 인하 ㄴ 손해 부당 액 산정 기준 < br / > 
118433,"민사 소송법 201 가지급 물의 반환 가집행 결과 ㄴ 원상 회복 규정 , 당사자 소 취하 가집행 선고 실효 되 ㄴ 적용 되 는지 ( ) < br / > "
71992,가압류 집행 인하 ㄴ 손해 배상 책임 되 ㄴ < br / > 
171333,불공정 법률 행위 하 는지 하 기준 < br / > 
234449,"수인 채권자 금전 채권 불가분 적 귀속 되 , 불가분 채권자 중 1 집행 채무자 하 ㄴ 압류 전부 명령 집행 채무자 아니 ㄴ 다른 불가분 채권자 미치 는지 ( ) 이때 다른 불가분 채권자 모든 채권자 위하 여 채무자 불가분 채권 전부 이행 하 ㄹ 있 는지 ( ) / 이러하 ㄴ 법리 불가분 채권 목적 금전 채권 고 일부 여만 압류 전부 명령 이루어지 ㄴ 마찬가지 ㄴ지 ( ) < br / > "
69895,"[ 1 ] 피 보전 채권 변 아직 도래 하 지 않 았 거나 변 연장 되 었 다고 하 더라도 채권자 채권 보전 위하 여 채무자 등 변 도래 변 연장 사해 행위 취소 구하 ㄹ 있 는지 ( ) 같 사해 행위 취소 구함 있 어서 채무자 채무 불이행 상태 있음 요하 는지 ( ) < br / > [ 2 ] 채무 자가 연대 보증인 사해 행위 채권자 사이 변 연장 합의 하 등 채무 불이행 상태 벗어나 ㄴ , 채권자 여전히 연대 보증인 사해 행위 취소 구하 ㄹ 이익 있 다고 하 ㄴ < br / > "
175391,한국 자산 관리 공사 국유 재산 무단 점유자 여 변 상금 부과 · 징수 권 행사 하 ㄴ 민 사상 부당 이득 반환 청구권 소멸 시효 중단 되 는지 ( ) < br / > 
126518,[ 1 ] 행정 소송법 23 소 정의 처분 ㄴ 집행 정지 취지 시 적 범위 < br / > [ 2 ] 일정 하 ㄴ 납부 기한 정하 ㄴ 과징금 부과 처분 ㄴ 집행 정지 결정 내려지 ㄴ 집행 정지 기간 동안 납부 기간 진행 되 는지 ( ) < br / > 
110489,아 . 의료 보험료 중 사용자 부담 분의 임금 < br / > 나 아 . 가집행 선고 인하 ㄴ 지급 물의 공제 자인 하 공제 < br / > 
81574,"[ 1 ] 이사 지위 부득이 회사 계속적 거래 관계 인하 ㄴ 불확정 하 ㄴ 채무 여 보증인 되 ㄴ 자가 이사 지위 떠나 ㄴ 사정 변경 이유 보증 계약 해지 하 ㄹ 있 는지 ( ) 계속적 보증 계약 이행 피 보증인 보증인 부담 하 게 되 ㄹ 불확정 하 ㄴ 구상 금 채무 보증 하 ㄴ 자도 사정 변경 이유 보증 계약 해지 하 ㄹ 있 는지 ( ) 오 아 구상 금 채무 확정 되 ㄴ 해지권 행사 하 ㄹ 있 는지 ( ) < br / > [ 2 ] 신용 보증 약정 체결 하 면서 일정 하 ㄴ 사유 발생 하 ㄹ 통지 · 최고 등 없 더라도 신용 보증인 보증 금액 여 사전 구상권 행사 하 ㄹ 있 도록 약정 하 ㄴ , 442 저 1 항 사전 구상권 행사 하 ㄹ 있 사유 확장 하 ㅁ 아울러 행사 특별 하 ㄴ 절차 적 필요 하 지 아니하 ㅁ 밝히 ㄴ 것 으로서 , 주 채무 자체 관하 여 현 실적 이행 지체 등 사유 발생 하 지 않 았 더라도 그러하 ㄴ 개연성 있 사유 발생 하 ㄴ 신용 보증인 하여금 미리 구상권 확보 하 ㄹ 있 도록 하 겠 다는 취지 라고 하 ㄴ < br / > [ 3 ] 계속적 보증 성질 가지 신용 보증 계약 상의 구상 금 채무 연대 보증 하 ㄴ 자가 사정 변경 이유 보증 계약 해지 주장 하 ㅁ 여 해지 이전 주채 무자 사전 구상 채무 확정 되 었 음 이유 해지 주장 배척 하 ㄴ < br / > "
212191,담보권 실행 위하 ㄴ 경매 절차 있 어서 배당 기일 당일 배당 실시 직전 근저당 권 자가 제출 하 ㄴ 채권 계산서 배당 표 반영 되 어야 하 는지 ( ) < br / > 
195104,"근저당 권 피 담보 채무 확정 되 기 채무 범위 나 채무자 변경 가능 하 ㄴ 지 ( ) 근저당 권 채무 범위 나 채무자 변경 되 ㄴ , 변경 범위 속하 채권 이나 채무자 ㄴ 채권 근저 당권 피 담보 채무 제외 되 는지 ( ) < br / > "
230367,"[ 1 ] 채무자 나 변제 하 ㄹ 정 당하 ㄴ 이익 있 모두 위임 없이 채무 변제 하 ㄴ 자가 변제 하 ㄹ 정 당하 ㄴ 이익 있 상대 사무 관리 따르 ㄴ 필요비 상환 청구권 행사 하 ㄹ 있 는지 ( ) < br / > [ 2 ] 부동산 소유권 회복 하 ㄹ 지위 있 자가 근저당 권 피 담보 채무 변제 하 ㄹ 정 당하 ㄴ 이익 있 하 는지 ( ) < br / > [ 3 ] 甲 乙 기망 하 여 乙 소유 부동산 ㄴ 교환 계약 체결 하 고 甲 지정 하 丙 명의 소유권 이전 등기 경 료 받 부동산 丁 명의 근저당 권 설정 되 었 는데 , 戊 丁 근저당 권부 채권 변제 하 여 근저당 권 말소 되 ㄴ , 戊 乙 상대 변제 액 상당 사무 관리 따르 ㄴ 필요비 상환 청구권 행사 하 ㄹ 있 다고 하 ㄴ < br / > "
70200,[ 1 ] 동업 계약 취소 내지 해제 따르 ㄴ 부당 이득 반환 내지 원상회복 주장 동업 관계 탈퇴 의사 표시 말미암 출자액 반환 구하 것 보 ㄴ < br / > [ 2 ] 동업 계약 체결 하 면서 양립 하 ㄹ 없 다른 동업 계약 내지 투자 계약 존재 내용 여 설명 하 지 않 것 동업 계약 다른 당사자 조합 탈퇴 하 ㄹ 부득이 하 ㄴ 사유 라고 봄 상당 고 하 ㄴ < br / > 
