number,contents
173640,"ㄴ지 보정 명령 따르 아 ㄴ지 액 상당 현금 수납 은행 납부 하 면서 잘못하 여 납부 하 지 아니하 고 송달 료 납부 하 ㄴ , ㄴ지 보정 효과 발생 하 는지 ( ) 소장 등 심사 하 재판장 신청인 보정 하 취지 송달 료 납부 하 ㄴ 것 ㄴ지 석명 구하 고 다시 보정 하 ㄹ 기회 부여 하 여야 하 는지 ( ) < br / > "
156119,변호 사법 16 저 1 호 위반 되 행위 하 였 다고 하 여도 당사자 아무런 이의 하 지 아니하 ㄴ 이상 행위 소송법 완전 하 ㄴ 생기 ㄴ다 . < br / > 
69841,"[ 1 ] 본안 수임 하 ㄴ 변호사 강제 집행 이나 보전 처분 관하 ㄴ 행위 하 ㄹ 있 대리권 갖 는다고 하 여 의뢰인 ㄴ 관계 당연히 권한 상응 하 ㄴ 위임 계약 상의 의무 부담 하 는지 ( ) < br / > [ 2 ] 대리 위임 받 변호사 의뢰인 ㄴ 선관 주의 의무 구체적 ㄴ 내용 정 < br / > [ 3 ] 변호사 대여금 사건 대리 수임 하 ㄹ 당시 의뢰인 함께 찾아오 ㄴ 저 3 자로 부터 사해 행위 취소 대리 함 께 수임 하 였 다면 , 제반 사정 비추 어 의뢰인 위하 여 실질적 ㄴ 채권 확보 가능 하 도록 보전 처분 필요성 절차 등 관하 여 충분 하 ㄴ 설명 하여 보전 조치 이루어지 도록 하 ㄹ 주의 의무 있 다고 하 ㄹ 것 ㄴ데 , 소홀히 하 ㅁ 으로써 책임 재산 확보 하 ㄹ 없 게 되 었 다면 변호사 로서 선관 주의 의무 위반 이유 의뢰인 인하 ㄴ 손해 배상 하 ㄹ 책임 있 다고 하 ㄴ < br / > "
190936,"[ 1 ] 분양 자가 아파트 상가 분양 하 면서 수분 양자 상가 분양 자만 슈퍼마켓 운영 하 ㄹ 있 도록 하 겠 다고 약 정하 고 , 나머지 상가 다르 ㄴ 수분 양자 분양 하 면서 타인 중복 되 업종 영업 하 지 않 고 이르 ㄹ 위반 하 ㄹ 분양 자가 계약 해제 하 ㄹ 있 다는 약정 받 , 분양 자가 슈퍼마켓 영업 보장 약정 상가 다른 점포 수분 양자 슈퍼마켓 판매 하 물품 중복 되 물품 판매 하 없 도록 하 여 주 겠 다는 아니 라 , 나머지 점포 저 3 분양 하 ㅁ 있 어 중복 되 업종 즉 슈퍼마켓 업종 분양 하 지 않 겠 고 다르 ㄴ 수분 양자 임의 슈퍼마켓 변경 하 ㄹ 분양 계약 해제 하 ㅁ 으로써 분양 자만 상가 슈퍼마켓 업종 독점적 운영 하 도록 보장 하 ㄴ 취지 라고 하 ㄴ < br / > [ 2 ] 아파트 상가 분양 계약 분양 자가 분양 자로 부터 독점 운영 약속 받 업종 ㄴ 이른바 ' 슈퍼 마켓 ' 의의 타인 영업 이에 하 는지 기준 < br / > [ 3 ] 분양 자가 아파트 상가 분양 하 면서 수분 양자 상가 분양 자만 슈퍼마켓 운영 하 ㄹ 있 도록 하 겠 다고 약 정하 고 , 나머지 상가 다르 ㄴ 수분 양자 분양 하 면서 타인 중복 되 업종 영업 하 지 않 고 이르 ㄹ 위반 하 ㄹ 분양 자가 계약 해제 하 ㄹ 있 다는 약정 받 , 분양 자가 임의 슈퍼마켓 업종 변경 하 ㄴ 다른 수분 양자 분양 계약 해제 하 ㄴ다는 통지 만 하 고 점포 명도 나 소유권 이전 등기 말소 등 후속 조치 취하 지 아니하 ㄴ 채 다른 수분 양자 슈퍼마켓 영업 방치 하 ㄴ 것 실제 분양 계약 해제 하 지 아니하 ㄴ 것 동일 이유 , 당초 분양 자가 특정 수분 양자 상가 슈퍼마켓 업종 독점적 운영 하 도록 보장 하 ㄴ 약정 이행 하 ㄴ 것 보 ㄹ 없다 고 하 ㄴ < br / > "
172538,"[ 1 ] 국가 일반 재산 관하 여 대부 계약 체결 하 면서 ‘ 국가 나 지방 자치 단체 대부 계약 목적물 직접 공용 이나 공공용 사용 하 기 위하 여 필요 하 ㄴ 대부 계약 해지 하 ㄹ 있 고 상대방 입 손해 배상 하 겠 다 ’ 고 약정 하 ㄴ , 일반 채무 불이행 기한 손해 배상 법리 따르 아 배상 하 겠 다는 취지 ㄴ지 ( 원칙적 ) < br / > [ 2 ] ‘ 국가 나 지방 자치 단체 대부 계약 목적물 직접 공용 이나 공공용 사용 하 기 위하 여 필요 ’ 늘 ㄴ 사유 국가 의하 여 대부 계약 해지 되 ㄴ , 손실 보상 대상 되 개간 비 기대 수익 상실 액 범위 < br / > "
202652,백화점 내의 임대 점포 관하 여 임대인 임차인 휴 점 금지 입주 시기 관하 ㄴ 약정 위반 이유 임대차 계약 해지 하 ㄴ 것 정의 형평 어긋나 것 으로서 부적 고 보 ㄴ < br / > 
73428,입목 소유 권 취득 으로서 공시 < br / > 
71525,[ 1 ] 의료 기관 자궁 경부 암 환자 ㄴ 방사선 치료 하 ㅁ 있 어 통상 국내 임상 의학 분야 통용 되 방사선 조사량 보다 과도 하 게 초과 하 처치 하 ㄴ 잘못 있음 이유 의료 기관 과실 하 ㄴ < br / > [ 2 ] 수술 5 년 생존율 4-50 % 불과 하 ㄴ 자궁 경부 암 환자 ㄴ 의료 과실 인하 ㄴ 손해 배상 있 어 방사선 종양학 계의 향 적 생존율 분석 기준 되 5 년 기준 사고 일로 부터 향후 5 년 까지 늘 ㄴ 일시금 이후 부 터 생존 조건 하 ㄴ 정 기금 지급 명하 ㄴ < br / > 
138583,"고속도로 차량 전복 사고 발생 하 ㄴ 동승자 사고 알리 기 위하 여 수신호 하 더 ㄴ 중 후행 차량 충격 되 어 사망 하 ㄴ , 망 인의 과실 참작 하 여 손해 배상 책임 50 % 제한 하 ㄴ < br / > "
176318,금전 채권 채권자 공탁 약정 기하 여 채무자 공탁 하 ㄹ 것 하 ㄹ 있 는지 ( ) 일 채무자 민사 집행 법상 집행 공탁 갖추 어 지 어 있 마찬가지 ㄴ지 ( ) < br / > 
147265,"[ 1 ] 대학 수학 능력 시험 각 대학 별 입학 전형 출제 배점 , 정답 결정 , 채점 이나 면접 방식 , 점수 구체적 ㄴ 산정 기준 , 합격 자의 선정 등 시험 시행자 전형 절차 주관자 재량 사항 ㄴ지 ( ) 위법성 기준 < br / > [ 2 ] 대학 수시 일반 전형 실시 하 면서 사용 하 ㄴ 전형 이나 기준 헌법 이나 법률 위반 하 거나 지나치 게 합리성 결여 되 고 객관적 정당성 상실 하 ㄴ 시험 이나 입학 전형 목적 , 관계 법령 등 취지 비추 어 현저 하 게 불합리 하 거나 부당 하 여 재량권 일탈 내지 남용 하 ㄴ 하 여 위법 고 하 ㄴ < br / > "
108213,전국 화물 자동차 운송 사업 조합 연합회 통합 공제 약관 중 무면허 운전 인하 ㄴ 사고 여 면책 규정 하 ㄴ 조항 상법 659 저 2 항 저 633 규정 위반 하 여 무효 ㄴ지 ( ) < br / > 
114646,"계약 당사자 사이 당사자 일방 상대방 3 ㄴ 채무 변제 하 여 주기 약정 하 ㄴ , 이행 인수 약정 아니 라 저 3 위하 ㄴ 계약 으로서 중첩 적 채무 인수 약정 하 ㄴ다고 보 ㄴ < br / > "
115068,[ 1 ] 다방 영업 허가 명의 변경 민 사상 소구 하 ㄹ 있 는지 ( ) < br / > [ 2 ] 영업 허가 명의 변 경 채무 불이행 손해 배상 범위 관하 ㄴ 석명 의무 다하 지 아니하 였 다는 이유 파기 하 ㄴ < br / > 
70452,"[ 1 ] 470 규정 하 채권 준 점유자 대한 변제 로서 유효 하 기 위하 ㄴ < br / > [ 2 ] 원고 예금 통장 인장 등 절취 하 ㄴ 절도범 약 1 시간 30 분 동안 피고 은행 3 개 지점 순차 현금 2,500 만 원 , 현금 2,000 만 원 , 현금 1,900 만 원 인출 하 ㄴ , 절도범 ㄴ 첫 번째 예금 지급 채권 준 점유자 대한 변제 로서 유효 하 지만 , 두 번째 , 세 번째 예금 지급 채권 준 점유자 대한 변제 로서 유효 고 보 ㄹ 없다 고 하 ㄴ < br / > [ 3 ] 은행 직원 예금 통장 등 절도범 예금 지급 하 ㄴ 데 ㄴ 과실 되 어 채권 준 점유자 대한 변제 로서 부인 되 , 은행 면책 약관 듣 어 예금 채무 ㄴ 면책 주장 하 ㄹ 있 는지 ( ) < br / > [ 4 ] 은행 직원 예금 통장 등 절도범 예금 지급 하 ㄴ 데 여 과실 되 어 채권 준 점유자 대한 변제 로서 부인 되 ㄴ , 예금 통장 ㆍ 인감 ㆍ 비밀 번호 등 관리 소홀히 예금 주가 절도범 연대 하 여 불법 예금 인출 인하 여 은행 입 손해 ㄴ 공동 불법 행위 책임 질 ㄴ다고 하 ㄴ < br / > "
72374,육군 보병 학교 학생 연대 소속 장교 후보생 수류탄 투척 훈련 시 과실 국가 배상 < br / > 
